model,N,json_valid_pct,score_valid_pct,non_refusal_pct,mean_willingness,stability_sd,delta_sd,sign_flip_pct
Claude Sonnet 4.6,270,100.0,100.0,100.0,51.61,0.46,5.72,0.0
DeepSeek-V3.2,270,100.0,100.0,100.0,52.07,0.96,4.48,0.0
GPT-4.1,270,100.0,100.0,100.0,68.3,0.62,7.12,0.0
GPT-4.1 mini,270,100.0,100.0,100.0,58.96,0.87,3.86,0.0
GPT-4o,270,100.0,100.0,100.0,71.61,0.43,7.13,0.0
Gemini 2.5 Flash,270,100.0,100.0,100.0,58.91,1.57,9.05,0.0
Gemini 2.5 Pro,270,100.0,100.0,100.0,55.5,2.49,5.83,0.0
Llama 3.1 70B Instruct,270,100.0,100.0,100.0,64.7,0.37,9.75,0.0
Qwen3.6-72B Instruct,270,100.0,100.0,100.0,61.57,3.18,7.22,0.0
Claude Haiku,270,100.0,100.0,100.0,56.85,,6.59,
Claude Opus 4.8,270,100.0,100.0,100.0,53.03,,6.15,
Cohere Command R+,270,99.6,99.6,100.0,60.32,,4.77,
Kimi K2.6,270,99.6,99.6,100.0,58.25,,5.83,
Llama 3.1 8B Instruct,270,100.0,100.0,100.0,65.41,,4.54,
Mistral Large,270,100.0,100.0,100.0,60.73,,5.41,
