predictor,beta_true,power,residual_sd,se_factor,n
PVC,0.0,0.05,12.24,1.9658,15
PVC,0.25,0.0637,12.24,1.9658,15
PVC,0.5,0.0802,12.24,1.9658,15
PVC,0.75,0.0998,12.24,1.9658,15
PVC,1.0,0.1226,12.24,1.9658,15
PVC,1.25,0.1488,12.24,1.9658,15
PVC,1.5,0.1785,12.24,1.9658,15
PVC,1.75,0.2117,12.24,1.9658,15
PVC,2.0,0.2482,12.24,1.9658,15
PVC,2.25,0.2879,12.24,1.9658,15
PVC,2.5,0.3302,12.24,1.9658,15
PVC,2.75,0.3749,12.24,1.9658,15
PVC,3.0,0.4213,12.24,1.9658,15
PVC,3.25,0.4688,12.24,1.9658,15
PVC,3.5,0.5168,12.24,1.9658,15
PVC,3.75,0.5645,12.24,1.9658,15
PVC,4.0,0.6112,12.24,1.9658,15
PVC,4.25,0.6564,12.24,1.9658,15
PVC,4.5,0.6994,12.24,1.9658,15
PVC,4.75,0.7398,12.24,1.9658,15
PVC,5.0,0.7773,12.24,1.9658,15
PVC,5.25,0.8114,12.24,1.9658,15
PVC,5.5,0.8421,12.24,1.9658,15
PVC,5.75,0.8693,12.24,1.9658,15
PVC,6.0,0.893,12.24,1.9658,15
PVC,6.25,0.9135,12.24,1.9658,15
PVC,6.5,0.9309,12.24,1.9658,15
PVC,6.75,0.9455,12.24,1.9658,15
PVC,7.0,0.9575,12.24,1.9658,15
PVC,7.25,0.9673,12.24,1.9658,15
PVC,7.5,0.9751,12.24,1.9658,15
PVC,7.75,0.9813,12.24,1.9658,15
PVC,8.0,0.9861,12.24,1.9658,15
PVC,8.25,0.9898,12.24,1.9658,15
PVC,8.5,0.9927,12.24,1.9658,15
PVC,8.75,0.9948,12.24,1.9658,15
PVC,9.0,0.9963,12.24,1.9658,15
PVC,9.25,0.9974,12.24,1.9658,15
PVC,9.5,0.9982,12.24,1.9658,15
PVC,9.75,0.9988,12.24,1.9658,15
PVC,10.0,0.9992,12.24,1.9658,15
PVC,10.25,0.9995,12.24,1.9658,15
PVC,10.5,0.9997,12.24,1.9658,15
PVC,10.75,0.9998,12.24,1.9658,15
PVC,11.0,0.9999,12.24,1.9658,15
PVC,11.25,0.9999,12.24,1.9658,15
PVC,11.5,0.9999,12.24,1.9658,15
PVC,11.75,1.0,12.24,1.9658,15
PVC,12.0,1.0,12.24,1.9658,15
PVC,12.25,1.0,12.24,1.9658,15
PVC,12.5,1.0,12.24,1.9658,15
PVC,12.75,1.0,12.24,1.9658,15
PVC,13.0,1.0,12.24,1.9658,15
PVC,13.25,1.0,12.24,1.9658,15
PVC,13.5,1.0,12.24,1.9658,15
PVC,13.75,1.0,12.24,1.9658,15
PVC,14.0,1.0,12.24,1.9658,15
PVC,14.25,1.0,12.24,1.9658,15
PVC,14.5,1.0,12.24,1.9658,15
PVC,14.75,1.0,12.24,1.9658,15
PVC,15.0,1.0,12.24,1.9658,15
PVC,15.25,1.0,12.24,1.9658,15
PVC,15.5,1.0,12.24,1.9658,15
PVC,15.75,1.0,12.24,1.9658,15
PVC,16.0,1.0,12.24,1.9658,15
PVC,16.25,1.0,12.24,1.9658,15
PVC,16.5,1.0,12.24,1.9658,15
PVC,16.75,1.0,12.24,1.9658,15
PVC,17.0,1.0,12.24,1.9658,15
PVC,17.25,1.0,12.24,1.9658,15
PVC,17.5,1.0,12.24,1.9658,15
PVC,17.75,1.0,12.24,1.9658,15
PVC,18.0,1.0,12.24,1.9658,15
PVC,18.25,1.0,12.24,1.9658,15
PVC,18.5,1.0,12.24,1.9658,15
PVC,18.75,1.0,12.24,1.9658,15
PVC,19.0,1.0,12.24,1.9658,15
PVC,19.25,1.0,12.24,1.9658,15
PVC,19.5,1.0,12.24,1.9658,15
PVC,19.75,1.0,12.24,1.9658,15
PVC,20.0,1.0,12.24,1.9658,15
CO,0.0,0.05,11.39,3.4554,15
CO,0.25,0.0575,11.39,3.4554,15
CO,0.5,0.0658,11.39,3.4554,15
CO,0.75,0.0751,11.39,3.4554,15
CO,1.0,0.0853,11.39,3.4554,15
CO,1.25,0.0965,11.39,3.4554,15
CO,1.5,0.1088,11.39,3.4554,15
CO,1.75,0.1221,11.39,3.4554,15
CO,2.0,0.1366,11.39,3.4554,15
CO,2.25,0.1522,11.39,3.4554,15
CO,2.5,0.1689,11.39,3.4554,15
CO,2.75,0.1867,11.39,3.4554,15
CO,3.0,0.2057,11.39,3.4554,15
CO,3.25,0.2258,11.39,3.4554,15
CO,3.5,0.2469,11.39,3.4554,15
CO,3.75,0.269,11.39,3.4554,15
CO,4.0,0.2921,11.39,3.4554,15
CO,4.25,0.316,11.39,3.4554,15
CO,4.5,0.3408,11.39,3.4554,15
CO,4.75,0.3662,11.39,3.4554,15
CO,5.0,0.3923,11.39,3.4554,15
CO,5.25,0.4188,11.39,3.4554,15
CO,5.5,0.4457,11.39,3.4554,15
CO,5.75,0.4729,11.39,3.4554,15
CO,6.0,0.5002,11.39,3.4554,15
CO,6.25,0.5274,11.39,3.4554,15
CO,6.5,0.5546,11.39,3.4554,15
CO,6.75,0.5814,11.39,3.4554,15
CO,7.0,0.6079,11.39,3.4554,15
CO,7.25,0.634,11.39,3.4554,15
CO,7.5,0.6594,11.39,3.4554,15
CO,7.75,0.684,11.39,3.4554,15
CO,8.0,0.7079,11.39,3.4554,15
CO,8.25,0.731,11.39,3.4554,15
CO,8.5,0.753,11.39,3.4554,15
CO,8.75,0.7741,11.39,3.4554,15
CO,9.0,0.7941,11.39,3.4554,15
CO,9.25,0.813,11.39,3.4554,15
CO,9.5,0.8308,11.39,3.4554,15
CO,9.75,0.8474,11.39,3.4554,15
CO,10.0,0.863,11.39,3.4554,15
CO,10.25,0.8774,11.39,3.4554,15
CO,10.5,0.8907,11.39,3.4554,15
CO,10.75,0.9029,11.39,3.4554,15
CO,11.0,0.9141,11.39,3.4554,15
CO,11.25,0.9243,11.39,3.4554,15
CO,11.5,0.9336,11.39,3.4554,15
CO,11.75,0.9419,11.39,3.4554,15
CO,12.0,0.9494,11.39,3.4554,15
CO,12.25,0.9561,11.39,3.4554,15
CO,12.5,0.9621,11.39,3.4554,15
CO,12.75,0.9674,11.39,3.4554,15
CO,13.0,0.972,11.39,3.4554,15
CO,13.25,0.9761,11.39,3.4554,15
CO,13.5,0.9797,11.39,3.4554,15
CO,13.75,0.9828,11.39,3.4554,15
CO,14.0,0.9855,11.39,3.4554,15
CO,14.25,0.9878,11.39,3.4554,15
CO,14.5,0.9898,11.39,3.4554,15
CO,14.75,0.9915,11.39,3.4554,15
CO,15.0,0.993,11.39,3.4554,15
CO,15.25,0.9942,11.39,3.4554,15
CO,15.5,0.9952,11.39,3.4554,15
CO,15.75,0.9961,11.39,3.4554,15
CO,16.0,0.9968,11.39,3.4554,15
CO,16.25,0.9974,11.39,3.4554,15
CO,16.5,0.9979,11.39,3.4554,15
CO,16.75,0.9983,11.39,3.4554,15
CO,17.0,0.9987,11.39,3.4554,15
CO,17.25,0.9989,11.39,3.4554,15
CO,17.5,0.9991,11.39,3.4554,15
CO,17.75,0.9993,11.39,3.4554,15
CO,18.0,0.9995,11.39,3.4554,15
CO,18.25,0.9996,11.39,3.4554,15
CO,18.5,0.9997,11.39,3.4554,15
CO,18.75,0.9997,11.39,3.4554,15
CO,19.0,0.9998,11.39,3.4554,15
CO,19.25,0.9998,11.39,3.4554,15
CO,19.5,0.9999,11.39,3.4554,15
CO,19.75,0.9999,11.39,3.4554,15
CO,20.0,0.9999,11.39,3.4554,15
