item,label,N,coef,SE,t,p,R2,changes_h1
AP1,Leave-AP1,15,0.6935,1.4751,0.47,0.646,0.0167,no
AP2,Leave-AP2,15,1.8328,1.9715,0.93,0.3695,0.0623,no
AP3,Leave-AP3,15,1.1324,2.2048,0.514,0.6161,0.0199,no
AP4,Leave-AP4,15,1.9635,1.9187,1.023,0.3248,0.0746,no
ST1,Leave-ST1,15,1.5997,1.979,0.808,0.4334,0.0479,no
ST2,Leave-ST2,15,0.9167,1.9029,0.482,0.638,0.0175,no
ST3,Leave-ST3,15,1.2851,2.0018,0.642,0.532,0.0307,no
ST4,Leave-ST4,15,2.2901,2.0448,1.12,0.283,0.088,no
CO1,Leave-CO1,15,1.3426,2.009,0.668,0.5156,0.0332,no
CO2,Leave-CO2,15,1.6522,1.8727,0.882,0.3936,0.0565,no
CO3,Leave-CO3,15,1.57,1.9523,0.804,0.4357,0.0474,no
CO4,Leave-CO4,15,1.5767,2.031,0.776,0.4515,0.0443,no
BS1,Leave-BS1,15,1.4441,1.8733,0.771,0.4545,0.0437,no
BS2,Leave-BS2,15,1.5816,1.8674,0.847,0.4123,0.0523,no
BS3,Leave-BS3,15,1.1322,1.9537,0.58,0.5722,0.0252,no
BS4,Leave-BS4,15,1.4999,1.998,0.751,0.4662,0.0415,no
CA1,Leave-CA1,15,1.1481,2.0669,0.555,0.588,0.0232,no
CA2,Leave-CA2,15,1.3431,1.851,0.726,0.4809,0.0389,no
CA3,Leave-CA3,15,1.1657,2.0751,0.562,0.5839,0.0237,no
CA4,Leave-CA4,15,1.9171,1.9792,0.969,0.3504,0.0673,no
