Model,AP,ST,CO,BS,CA,PVC
Llama 3.1 8B Instruct,3,3.25,3.25,4.25,4.75,2.905
Claude Haiku,4.5,4.5,4.75,5.5,3.75,2.203
Llama 3.1 70B Instruct,4.75,5.0,5.5,6.0,3.75,1.848
Claude Sonnet 4.6,4.5,4.5,6.0,5.75,3.75,1.205
Qwen3.6-72B Instruct,4.5,4.75,5.5,5.75,3.5,0.745
Gemini 2.5 Flash,4.5,4.75,6.5,6.5,3.25,0.306
Gemini 2.5 Pro,4.25,4.75,6.75,6.5,3.5,0.009
GPT-4.1 mini,4.25,5.5,5.75,6.5,3.5,-0.243
Cohere Command R+,3.75,4.75,4.5,5.5,3.5,-0.278
Claude Opus 4.8,4.5,5,5,5,3.5,-0.414
GPT-4.1,4.5,5.25,6.25,6.0,3.5,-0.612
Kimi K2.6,4,4.75,5.75,6,3.25,-0.842
DeepSeek-V3.2,4.0,5.0,6.0,5.5,3.75,-1.3
GPT-4o,4.25,5.25,5.5,5.75,3.0,-1.892
Mistral Large,4,5.5,6,6,2.75,-3.646
