omitted_model,N,PVC_coef,access_barriers_coef,collective_responsibility_coef,coercive_backlash_coef,PVC_p,access_barriers_p,collective_responsibility_p,coercive_backlash_p,r2
Claude Sonnet 4.6,1080,1.254,14.5614,-10.8662,14.1383,0.0,0.0,0.0,0.0,0.3898
DeepSeek-V3.2,1080,1.5392,14.149,-9.6556,11.8268,0.0,0.0,0.0,0.0,0.3653
GPT-4.1,1080,0.9441,13.604,-9.5569,10.8815,0.0,0.0,0.0,0.0,0.3472
GPT-4.1 mini,1080,1.2374,14.2456,-10.7273,11.4974,0.0,0.0,0.0,0.0,0.3643
GPT-4o,1080,-0.7214,9.4418,-12.6155,12.9019,0.0007,0.0,0.0,0.0,0.4135
Gemini 2.5 Flash,1080,1.0652,11.3507,-11.5239,7.4018,0.0,0.0,0.0,0.0021,0.3114
Gemini 2.5 Pro,1080,1.0307,10.1526,-6.235,14.8759,0.0,0.0,0.0,0.0,0.3219
Llama 3.1 70B Instruct,1080,3.1203,10.6454,-15.3495,9.6347,0.0,0.0,0.0,0.0,0.4399
Qwen3.6-72B Instruct,1080,1.2814,13.842,-11.1546,11.6912,0.0,0.0,0.0,0.0,0.372
