Model,Frame,Mean Delta,SD,N
GPT-4.1,autonomy,34.333333333333336,5.387935666493121,135
GPT-4.1,collective,23.237037037037037,6.757204455309669,135
GPT-4.1,equity,36.629629629629626,7.983883711298245,135
GPT-4.1,neutral,31.25925925925926,6.1607362456933235,135
Llama 3.1 70B Instruct,autonomy,40.48148148148148,4.957809837604557,135
Llama 3.1 70B Instruct,collective,21.962962962962962,4.147301599633129,135
Llama 3.1 70B Instruct,equity,38.03703703703704,9.524052354165574,135
Llama 3.1 70B Instruct,neutral,38.148148148148145,6.6282058067545195,135
Mistral Large,autonomy,33.7037037037037,5.072716123220107,135
Mistral Large,collective,23.48148148148148,7.587157110058695,135
Mistral Large,equity,37.48148148148148,5.94985494850392,135
Mistral Large,neutral,30.48148148148148,6.0122410601166845,135
Qwen3.6-72B Instruct,autonomy,36.148148148148145,7.454857695588188,135
Qwen3.6-72B Instruct,collective,23.333333333333332,8.149718427513992,135
Qwen3.6-72B Instruct,equity,47.18518518518518,8.716244214781911,135
Qwen3.6-72B Instruct,neutral,34.2962962962963,6.113447465346648,135
