omitted_model,predictor,beta,se,t,p,r2
Claude Sonnet 4.6,PVC,0.2986,2.8401,0.1052,0.9197,0.0018
Claude Sonnet 4.6,CO,24.2595,7.1818,3.3779,0.0149,0.6554
DeepSeek-V3.2,PVC,0.8644,2.7662,0.3125,0.7652,0.016
DeepSeek-V3.2,CO,24.0722,6.7536,3.5643,0.0119,0.6792
GPT-4.1,PVC,-0.2484,2.5272,-0.0983,0.9249,0.0016
GPT-4.1,CO,27.8322,3.5798,7.7748,0.0002,0.9097
GPT-4.1 mini,PVC,0.0366,2.6052,0.014,0.9893,0.0
GPT-4.1 mini,CO,24.1646,7.3455,3.2897,0.0166,0.6433
GPT-4o,PVC,-2.2162,2.6642,-0.8319,0.4373,0.1034
GPT-4o,CO,22.1993,7.5369,2.9454,0.0258,0.5912
Gemini 2.5 Flash,PVC,-0.0132,2.3103,-0.0057,0.9956,0.0
Gemini 2.5 Flash,CO,22.1872,7.7762,2.8532,0.0291,0.5757
Gemini 2.5 Pro,PVC,0.4346,1.9733,0.2203,0.833,0.008
Gemini 2.5 Pro,CO,19.5988,8.8842,2.206,0.0695,0.4478
Llama 3.1 70B Instruct,PVC,1.5993,3.1827,0.5025,0.6332,0.0404
Llama 3.1 70B Instruct,CO,25.5139,7.7109,3.3088,0.0162,0.646
Qwen3.6-72B Instruct,PVC,0.447,2.6784,0.1669,0.8729,0.0046
Qwen3.6-72B Instruct,CO,26.2422,7.5336,3.4834,0.0131,0.6691
